,Original,Correct
0,oncolgy,oncology
1,abdomin,abdomen
2,ovari,ovary
3,probally,probably
4,gleevic,gleevec
5,oncogolgist,oncologist
6,opnion,opinion
7,eduactional,educational
8,compleatly,completely
9,surgry,surgery
10,substitue,substitute
11,gleevac,gleevec
12,sutant,sutent
13,mou,you
14,clenical ,clinical
15,tomarrow,tomorrow
16,metastized,metastasized
17,tur,your
18,hav,have
19,toughts,thoughts
20,yipee,yippee
21,yaay,yay
22,norvay,norway
23,stomack,stomach
24,mustidisciplinary,multidisciplinary
25,metastisis,metastasis
26,ussually,usually
27,yeras,years
28,wheater,whether
29,deficiancy,deficiency
30,surgerys,surgeries
31,ony,only
32,tollerate,tolerate
33,gllevec,gleevec
34,kontrol,control
35,husbond,husband
36,sufferes,sufferer
37,frieinds,friends
38,istological,histological
39,tollerated,tolerated
40,disgnosis,diagnosis
41,ededinburh,edinburgh
42,enought,enough
43,reoccourances,recurrences
44,thanx,thanks
45,alse,else
46,metastisized,metastasized
